Book,Book Theme,Extra Notes,Epigraph Author,Epigraph
Valley of Silence,Fantasy,"2 part epigraph, uppercase author","""JOHN MILTON""","“Good and evil, we know, in the field of this world grow up together almost inseparably."""
Valley of Silence,Fantasy,"2 part epigraph, uppercase author","""SHAKESPEARE""","""Presume not that I am the thing I was."" "
Dead of Night (Eternity in Death),Crime,"2 part epigraph, italicized","""Coleridge""","“The Sun’s rim dips; the stars rush out, At one stride comes the dark."""
Dead of Night (Eternity in Death),Crime,"2 part epigraph, italicized","""John Milton""","""Whence and what art thou, execrable shape?"""
Blood Brothers,Fantasy,"2 part epigraph, uppercase author","""ROBERT BURTON""","“Where God hath a temple, the Devil will have a chapel."""
Blood Brothers,Fantasy,"2 part epigraph, uppercase author","""JOHN MILTON""","""The childhood shows the man As morning shows the day."""
The Hollow,Fantasy,"2 part epigraph, uppercase author","""LENA GUILBERT FORD""","“Keep the home fires burning."""
The Hollow,Fantasy,"2 part epigraph, uppercase author","""SAMUEL JOHNSON”","""The natural flights of the human mind are not from pleasure to pleasure, but from hope to hope."""
The Pagan Stone,Fantasy,"2 part epigraph, uppercase author","""PROVERBS 29:18""","""Where there is no vision, the people perish."""
The Pagan Stone,Fantasy,"2 part epigraph, uppercase author","""WINSTON CHURCHILL""","""I have nothing to offer but blood, toil, tears, and sweat."""
The Other Side,Fantasy,"2 part epigraph, uppercase author","""SONG OF SOLOMON""","“Love is strong as death."""
The Other Side,Fantasy,"2 part epigraph, uppercase author","""JOHN MILTON""","""Whence and what art thou, execrable shape?"""
The Uniquiet,Thriller,"2 part epigraph, uppercase author","""THE SHADOW""","“Who knows what evil lurks in the hearts of men?"""
The Uniquiet,Thriller,"2 part epigraph, uppercase author","""JOHN MILTON""","""Good and evil we know in the field of this world grow up together almost inseparably."""
